Match Number,Round Number,Date,Location,Home Team,Away Team,Result
98,10,29/10/2024 19:45,Giuseppe Meazza,Milan,Napoli,0 - 2
94,10,30/10/2024 17:30,Carlo Castellani,Empoli,Inter,0 - 3
100,10,30/10/2024 17:30,Pier Luigi Penzo,Venezia,Udinese,3 - 2
91,10,30/10/2024 19:45,Atleti Azzurri d'Italia,Atalanta,Monza,2 - 0
96,10,30/10/2024 19:45,Juventus Stadium,Juventus,Parma,2 - 2
95,10,31/10/2024 17:30,Luigi Ferraris,Genoa,Fiorentina,0 - 1
93,10,31/10/2024 19:45,Giuseppe Sinigaglia,Como,Lazio,1 - 5
99,10,31/10/2024 19:45,Olimpico,Roma,Torino,1 - 0
101,11,02/11/2024 14:00,Renato Dall'Ara,Bologna,Lecce,1 - 0
109,11,02/11/2024 17:00,Friuli,Udinese,Juventus,0 - 2
105,11,02/11/2024 19:45,Brianteo,Monza,Milan,0 - 1
106,11,03/11/2024 11:30,Diego Armando Maradona,Napoli,Atalanta,0 - 3
108,11,03/11/2024 14:00,Olimpico Grande Torino,Torino,Fiorentina,0 - 1
110,11,03/11/2024 17:00,Marcantonio Bentegodi,Hellas Verona,Roma,3 - 2
103,11,03/11/2024 19:45,Giuseppe Meazza,Inter,Venezia,1 - 0
102,11,04/11/2024 17:30,Carlo Castellani,Empoli,Como,1 - 0
107,11,04/11/2024 17:30,Ennio Tardini,Parma,Genoa,0 - 1
104,11,04/11/2024 19:45,Olimpico,Lazio,Cagliari,2 - 1
114,12,07/11/2024 19:45,Luigi Ferraris,Genoa,Como,1 - 1
117,12,08/11/2024 19:45,Ettore Giardiniero - Via del mare,Lecce,Empoli,1 - 1
120,12,09/11/2024 14:00,Pier Luigi Penzo,Venezia,Parma,1 - 2
112,12,09/11/2024 17:00,Unipol Domus,Cagliari,Milan,3 - 3
116,12,09/11/2024 19:45,Juventus Stadium,Juventus,Torino,2 - 0
111,12,10/11/2024 11:30,Atleti Azzurri d'Italia,Atalanta,Udinese,2 - 1
113,12,10/11/2024 14:00,Artemio Franchi,Fiorentina,Hellas Verona,3 - 1
119,12,10/11/2024 14:00,Olimpico,Roma,Bologna,2 - 3
118,12,10/11/2024 17:00,Brianteo,Monza,Lazio,0 - 1
115,12,10/11/2024 19:45,Giuseppe Meazza,Inter,Napoli,1 - 1
130,13,23/11/2024 14:00,Marcantonio Bentegodi,Hellas Verona,Inter,0 - 5
125,13,23/11/2024 17:00,Giuseppe Meazza,Milan,Juventus,0 - 0
127,13,23/11/2024 19:45,Ennio Tardini,Parma,Atalanta,1 - 3
123,13,24/11/2024 11:30,Luigi Ferraris,Genoa,Cagliari,2 - 2
121,13,24/11/2024 14:00,Giuseppe Sinigaglia,Como,Fiorentina,0 - 2
128,13,24/11/2024 14:00,Olimpico Grande Torino,Torino,Monza,1 - 1
126,13,24/11/2024 17:00,Diego Armando Maradona,Napoli,Roma,1 - 0
124,13,24/11/2024 19:45,Olimpico,Lazio,Bologna,3 - 0
122,13,25/11/2024 17:30,Carlo Castellani,Empoli,Udinese,1 - 1
129,13,25/11/2024 19:45,Pier Luigi Penzo,Venezia,Lecce,0 - 1
132,14,29/11/2024 19:45,Unipol Domus,Cagliari,Hellas Verona,1 - 0
133,14,30/11/2024 14:00,Giuseppe Sinigaglia,Como,Monza,1 - 1
136,14,30/11/2024 17:00,Giuseppe Meazza,Milan,Empoli,3 - 0
131,14,30/11/2024 19:45,Renato Dall'Ara,Bologna,Venezia,3 - 0
140,14,01/12/2024 11:30,Friuli,Udinese,Genoa,0 - 2
137,14,01/12/2024 14:00,Ennio Tardini,Parma,Lazio,3 - 1
139,14,01/12/2024 14:00,Olimpico Grande Torino,Torino,Napoli,0 - 1
135,14,01/12/2024 19:45,Ettore Giardiniero - Via del mare,Lecce,Juventus,1 - 1
138,14,02/12/2024 19:45,Olimpico,Roma,Atalanta,0 - 2
134,14,06/02/2025 19:45,Artemio Franchi,Fiorentina,Inter,3 - 0
142,15,06/12/2024 17:30,Giuseppe Meazza,Inter,Parma,3 - 1
149,15,06/12/2024 19:45,Atleti Azzurri d'Italia,Atalanta,Milan,2 - 1
141,15,07/12/2024 14:00,Luigi Ferraris,Genoa,Torino,0 - 0
143,15,07/12/2024 17:00,Juventus Stadium,Juventus,Bologna,2 - 2
146,15,07/12/2024 19:45,Olimpico,Roma,Lecce,4 - 1
150,15,08/12/2024 11:30,Artemio Franchi,Fiorentina,Cagliari,1 - 0
148,15,08/12/2024 14:00,Marcantonio Bentegodi,Hellas Verona,Empoli,1 - 4
147,15,08/12/2024 17:00,Pier Luigi Penzo,Venezia,Como,2 - 2
145,15,08/12/2024 19:45,Diego Armando Maradona,Napoli,Lazio,0 - 1
144,15,09/12/2024 19:45,Brianteo,Monza,Udinese,1 - 2
154,16,13/12/2024 19:45,Carlo Castellani,Empoli,Torino,0 - 1
152,16,14/12/2024 14:00,Unipol Domus,Cagliari,Atalanta,0 - 1
160,16,14/12/2024 17:00,Friuli,Udinese,Napoli,1 - 3
155,16,14/12/2024 19:45,Juventus Stadium,Juventus,Venezia,2 - 2
157,16,15/12/2024 11:30,Ettore Giardiniero - Via del mare,Lecce,Monza,2 - 1
151,16,15/12/2024 14:00,Renato Dall'Ara,Bologna,Fiorentina,1 - 0
159,16,15/12/2024 14:00,Ennio Tardini,Parma,Hellas Verona,2 - 3
153,16,15/12/2024 17:00,Giuseppe Sinigaglia,Como,Roma,2 - 0
158,16,15/12/2024 19:45,Giuseppe Meazza,Milan,Genoa,0 - 0
156,16,16/12/2024 19:45,Olimpico,Lazio,Inter,0 - 6
170,17,20/12/2024 19:45,Marcantonio Bentegodi,Hellas Verona,Milan,0 - 1
168,17,21/12/2024 14:00,Olimpico Grande Torino,Torino,Bologna,0 - 2
163,17,21/12/2024 17:00,Luigi Ferraris,Genoa,Napoli,1 - 2
165,17,21/12/2024 19:45,Ettore Giardiniero - Via del mare,Lecce,Lazio,1 - 2
167,17,22/12/2024 11:30,Olimpico,Roma,Parma,5 - 0
169,17,22/12/2024 14:00,Pier Luigi Penzo,Venezia,Cagliari,2 - 1
161,17,22/12/2024 17:00,Atleti Azzurri d'Italia,Atalanta,Empoli,3 - 2
166,17,22/12/2024 19:45,Brianteo,Monza,Juventus,1 - 2
162,17,23/12/2024 17:30,Artemio Franchi,Fiorentina,Udinese,1 - 2
164,17,23/12/2024 19:45,Giuseppe Meazza,Inter,Como,2 - 0
174,18,28/12/2024 14:00,Carlo Castellani,Empoli,Genoa,1 - 2
179,18,28/12/2024 14:00,Ennio Tardini,Parma,Monza,2 - 1
172,18,28/12/2024 17:00,Unipol Domus,Cagliari,Inter,0 - 3
176,18,28/12/2024 19:45,Olimpico,Lazio,Atalanta,1 - 1
180,18,29/12/2024 11:30,Friuli,Udinese,Torino,2 - 2
178,18,29/12/2024 14:00,Diego Armando Maradona,Napoli,Venezia,1 - 0
175,18,29/12/2024 17:00,Juventus Stadium,Juventus,Fiorentina,2 - 2
177,18,29/12/2024 19:45,Giuseppe Meazza,Milan,Roma,1 - 1
173,18,30/12/2024 17:30,Giuseppe Sinigaglia,Como,Lecce,2 - 0
171,18,30/12/2024 19:45,Renato Dall'Ara,Bologna,Hellas Verona,2 - 3
184,19,04/01/2025 14:00,Pier Luigi Penzo,Venezia,Empoli,1 - 1
188,19,04/01/2025 17:00,Artemio Franchi,Fiorentina,Napoli,0 - 3
185,19,04/01/2025 19:45,Marcantonio Bentegodi,Hellas Verona,Udinese,0 - 0
181,19,05/01/2025 11:30,Brianteo,Monza,Cagliari,1 - 2
190,19,05/01/2025 14:00,Ettore Giardiniero - Via del mare,Lecce,Genoa,0 - 0
183,19,05/01/2025 17:00,Olimpico Grande Torino,Torino,Parma,0 - 0
182,19,05/01/2025 19:45,Olimpico,Roma,Lazio,2 - 0
187,19,14/01/2025 17:30,Giuseppe Sinigaglia,Como,Milan,1 - 2
186,19,14/01/2025 19:45,Atleti Azzurri d'Italia,Atalanta,Juventus,1 - 1
189,19,15/01/2025 19:45,Giuseppe Meazza,Inter,Bologna,2 - 2
194,20,10/01/2025 19:45,Olimpico,Lazio,Como,1 - 1
192,20,11/01/2025 14:00,Carlo Castellani,Empoli,Lecce,1 - 3
199,20,11/01/2025 14:00,Friuli,Udinese,Atalanta,0 - 0
198,20,11/01/2025 17:00,Olimpico Grande Torino,Torino,Juventus,1 - 1
195,20,11/01/2025 19:45,Giuseppe Meazza,Milan,Cagliari,1 - 1
193,20,12/01/2025 11:30,Luigi Ferraris,Genoa,Parma,1 - 0
200,20,12/01/2025 14:00,Pier Luigi Penzo,Venezia,Inter,0 - 1
191,20,12/01/2025 17:00,Renato Dall'Ara,Bologna,Roma,2 - 2
197,20,12/01/2025 19:45,Diego Armando Maradona,Napoli,Hellas Verona,2 - 0
196,20,13/01/2025 19:45,Brianteo,Monza,Fiorentina,2 - 1
209,21,17/01/2025 19:45,Olimpico,Roma,Genoa,3 - 1
202,21,18/01/2025 14:00,Renato Dall'Ara,Bologna,Monza,3 - 1
207,21,18/01/2025 17:00,Juventus Stadium,Juventus,Milan,2 - 0
201,21,18/01/2025 19:45,Atleti Azzurri d'Italia,Atalanta,Napoli,2 - 3
205,21,19/01/2025 11:30,Artemio Franchi,Fiorentina,Torino,1 - 1
203,21,19/01/2025 14:00,Unipol Domus,Cagliari,Lecce,4 - 1
208,21,19/01/2025 14:00,Ennio Tardini,Parma,Venezia,1 - 1
210,21,19/01/2025 17:00,Marcantonio Bentegodi,Hellas Verona,Lazio,0 - 3
206,21,19/01/2025 19:45,Giuseppe Meazza,Inter,Empoli,3 - 1
204,21,20/01/2025 19:45,Giuseppe Sinigaglia,Como,Udinese,4 - 1
218,22,24/01/2025 19:45,Olimpico Grande Torino,Torino,Cagliari,2 - 0
211,22,25/01/2025 14:00,Giuseppe Sinigaglia,Como,Atalanta,1 - 2
217,22,25/01/2025 17:00,Diego Armando Maradona,Napoli,Juventus,2 - 1
212,22,25/01/2025 19:45,Carlo Castellani,Empoli,Bologna,1 - 1
216,22,26/01/2025 11:30,Giuseppe Meazza,Milan,Parma,3 - 2
219,22,26/01/2025 14:00,Friuli,Udinese,Roma,1 - 2
215,22,26/01/2025 17:00,Ettore Giardiniero - Via del mare,Lecce,Inter,0 - 4
214,22,26/01/2025 19:45,Olimpico,Lazio,Fiorentina,1 - 2
220,22,27/01/2025 17:30,Pier Luigi Penzo,Venezia,Hellas Verona,1 - 1
213,22,27/01/2025 19:45,Luigi Ferraris,Genoa,Monza,2 - 0
230,23,31/01/2025 19:45,Ennio Tardini,Parma,Lecce,1 - 3
222,23,01/02/2025 14:00,Friuli,Udinese,Venezia,3 - 2
229,23,01/02/2025 14:00,Brianteo,Monza,Hellas Verona,0 - 1
223,23,01/02/2025 17:00,Atleti Azzurri d'Italia,Atalanta,Torino,1 - 1
224,23,01/02/2025 19:45,Renato Dall'Ara,Bologna,Como,2 - 0
227,23,02/02/2025 11:30,Juventus Stadium,Juventus,Empoli,4 - 1
226,23,02/02/2025 14:00,Artemio Franchi,Fiorentina,Genoa,2 - 1
228,23,02/02/2025 17:00,Giuseppe Meazza,Milan,Inter,1 - 1
221,23,02/02/2025 19:45,Olimpico,Roma,Napoli,1 - 1
225,23,03/02/2025 19:45,Unipol Domus,Cagliari,Lazio,1 - 2
232,24,07/02/2025 19:45,Giuseppe Sinigaglia,Como,Juventus,1 - 2
240,24,08/02/2025 14:00,Marcantonio Bentegodi,Hellas Verona,Atalanta,0 - 5
233,24,08/02/2025 17:00,Carlo Castellani,Empoli,Milan,0 - 2
238,24,08/02/2025 19:45,Olimpico Grande Torino,Torino,Genoa,1 - 1
239,24,09/02/2025 11:30,Pier Luigi Penzo,Venezia,Roma,0 - 1
231,24,09/02/2025 14:00,Unipol Domus,Cagliari,Parma,2 - 1
235,24,09/02/2025 14:00,Olimpico,Lazio,Monza,5 - 1
236,24,09/02/2025 17:00,Ettore Giardiniero - Via del mare,Lecce,Bologna,0 - 0
237,24,09/02/2025 19:45,Diego Armando Maradona,Napoli,Udinese,1 - 1
234,24,10/02/2025 19:45,Giuseppe Meazza,Inter,Fiorentina,2 - 1
242,25,14/02/2025 19:45,Renato Dall'Ara,Bologna,Torino,3 - 2
241,25,15/02/2025 14:00,Atleti Azzurri d'Italia,Atalanta,Cagliari,0 - 0
246,25,15/02/2025 17:00,Olimpico,Lazio,Napoli,2 - 2
247,25,15/02/2025 19:45,Giuseppe Meazza,Milan,Hellas Verona,1 - 0
243,25,16/02/2025 11:30,Artemio Franchi,Fiorentina,Como,0 - 2
248,25,16/02/2025 14:00,Brianteo,Monza,Lecce,0 - 0
250,25,16/02/2025 14:00,Friuli,Udinese,Empoli,3 - 0
249,25,16/02/2025 17:00,Ennio Tardini,Parma,Roma,0 - 1
245,25,16/02/2025 19:45,Juventus Stadium,Juventus,Inter,1 - 0
244,25,17/02/2025 19:45,Luigi Ferraris,Genoa,Venezia,2 - 0
371,26,21/02/2025 19:45,Ettore Giardiniero - Via del mare,Lecce,Udinese,0 - 1
372,26,22/02/2025 14:00,Ennio Tardini,Parma,Bologna,2 - 0
373,26,22/02/2025 14:00,Pier Luigi Penzo,Venezia,Lazio,0 - 0
374,26,22/02/2025 17:00,Olimpico Grande Torino,Torino,Milan,2 - 1
375,26,22/02/2025 19:45,Giuseppe Meazza,Inter,Genoa,1 - 0
376,26,23/02/2025 11:30,Giuseppe Sinigaglia,Como,Napoli,2 - 1
377,26,23/02/2025 14:00,Marcantonio Bentegodi,Hellas Verona,Fiorentina,1 - 0
378,26,23/02/2025 17:00,Carlo Castellani,Empoli,Atalanta,0 - 5
379,26,23/02/2025 19:45,Unipol Domus,Cagliari,Juventus,0 - 1
380,26,24/02/2025 19:45,Olimpico,Roma,Monza,4 - 0
253,27,28/02/2025 19:45,Artemio Franchi,Fiorentina,Lecce,1 - 0
251,27,01/03/2025 14:00,Atleti Azzurri d'Italia,Atalanta,Venezia,0 - 0
258,27,01/03/2025 17:00,Diego Armando Maradona,Napoli,Inter,1 - 1
260,27,01/03/2025 19:45,Friuli,Udinese,Parma,1 - 0
257,27,02/03/2025 11:30,Brianteo,Monza,Torino,0 - 2
252,27,02/03/2025 14:00,Renato Dall'Ara,Bologna,Cagliari,2 - 1
254,27,02/03/2025 14:00,Luigi Ferraris,Genoa,Empoli,1 - 1
259,27,02/03/2025 17:00,Olimpico,Roma,Como,2 - 1
256,27,02/03/2025 19:45,Giuseppe Meazza,Milan,Lazio,1 - 2
255,27,03/03/2025 19:45,Juventus Stadium,Juventus,Hellas Verona,2 - 0
261,28,07/03/2025 19:45,Unipol Domus,Cagliari,Genoa,1 - 1
262,28,08/03/2025 14:00,Giuseppe Sinigaglia,Como,Venezia,1 - 1
269,28,08/03/2025 14:00,Ennio Tardini,Parma,Torino,2 - 2
267,28,08/03/2025 17:00,Ettore Giardiniero - Via del mare,Lecce,Milan,2 - 3
264,28,08/03/2025 19:45,Giuseppe Meazza,Inter,Monza,3 - 2
270,28,09/03/2025 11:30,Marcantonio Bentegodi,Hellas Verona,Bologna,1 - 2
268,28,09/03/2025 14:00,Diego Armando Maradona,Napoli,Fiorentina,2 - 1
263,28,09/03/2025 17:00,Carlo Castellani,Empoli,Roma,0 - 1
265,28,09/03/2025 19:45,Juventus Stadium,Juventus,Atalanta,0 - 4
266,28,10/03/2025 19:45,Olimpico,Lazio,Udinese,1 - 1
274,29,14/03/2025 19:45,Luigi Ferraris,Genoa,Lecce,2 - 1
276,29,15/03/2025 14:00,Brianteo,Monza,Parma,1 - 1
279,29,15/03/2025 14:00,Friuli,Udinese,Hellas Verona,0 - 1
275,29,15/03/2025 17:00,Giuseppe Meazza,Milan,Como,2 - 1
278,29,15/03/2025 19:45,Olimpico Grande Torino,Torino,Empoli,1 - 0
280,29,16/03/2025 11:30,Pier Luigi Penzo,Venezia,Napoli,0 - 0
272,29,16/03/2025 14:00,Renato Dall'Ara,Bologna,Lazio,5 - 0
277,29,16/03/2025 15:00,Olimpico,Roma,Cagliari,1 - 0
273,29,16/03/2025 17:00,Artemio Franchi,Fiorentina,Juventus,3 - 0
271,29,16/03/2025 19:45,Atleti Azzurri d'Italia,Atalanta,Inter,0 - 2
282,30,29/03/2025 14:00,Giuseppe Sinigaglia,Como,Empoli,1 - 1
289,30,29/03/2025 14:00,Pier Luigi Penzo,Venezia,Bologna,0 - 1
285,30,29/03/2025 17:00,Juventus Stadium,Juventus,Genoa,1 - 0
287,30,29/03/2025 19:45,Ettore Giardiniero - Via del mare,Lecce,Roma,0 - 1
281,30,30/03/2025 10:30,Unipol Domus,Cagliari,Monza,3 - 0
283,30,30/03/2025 13:00,Artemio Franchi,Fiorentina,Atalanta,1 - 0
284,30,30/03/2025 16:00,Giuseppe Meazza,Inter,Udinese,2 - 1
288,30,30/03/2025 18:45,Diego Armando Maradona,Napoli,Milan,2 - 1
290,30,31/03/2025 16:30,Marcantonio Bentegodi,Hellas Verona,Parma,0 - 0
286,30,31/03/2025 18:45,Olimpico,Lazio,Torino,1 - 1
294,31,04/04/2025 18:45,Luigi Ferraris,Genoa,Udinese,1 - 0
297,31,05/04/2025 13:00,Brianteo,Monza,Como,1 - 3
298,31,05/04/2025 16:00,Ennio Tardini,Parma,Inter,2 - 2
296,31,05/04/2025 18:45,Giuseppe Meazza,Milan,Fiorentina,2 - 2
295,31,06/04/2025 10:30,Ettore Giardiniero - Via del mare,Lecce,Venezia,1 - 1
293,31,06/04/2025 13:00,Carlo Castellani,Empoli,Cagliari,0 - 0
300,31,06/04/2025 13:00,Olimpico Grande Torino,Torino,Hellas Verona,1 - 1
291,31,06/04/2025 16:00,Atleti Azzurri d'Italia,Atalanta,Lazio,0 - 1
299,31,06/04/2025 18:45,Olimpico,Roma,Juventus,1 - 1
292,31,07/04/2025 18:45,Renato Dall'Ara,Bologna,Napoli,1 - 1
305,32,11/04/2025 18:45,Friuli,Udinese,Milan,0 - 4
306,32,12/04/2025 13:00,Pier Luigi Penzo,Venezia,Monza,0 - 0
301,32,12/04/2025 16:00,Giuseppe Meazza,Inter,Cagliari,3 - 1
302,32,12/04/2025 18:45,Juventus Stadium,Juventus,Lecce,2 - 1
308,32,13/04/2025 10:30,Atleti Azzurri d'Italia,Atalanta,Bologna,2 - 0
307,32,13/04/2025 13:00,Marcantonio Bentegodi,Hellas Verona,Genoa,0 - 0
310,32,13/04/2025 13:00,Artemio Franchi,Fiorentina,Parma,0 - 0
309,32,13/04/2025 16:00,Giuseppe Sinigaglia,Como,Torino,1 - 0
303,32,13/04/2025 18:45,Olimpico,Lazio,Roma,1 - 1
304,32,14/04/2025 18:45,Diego Armando Maradona,Napoli,Empoli,3 - 0
315,33,19/04/2025 13:00,Ettore Giardiniero - Via del mare,Lecce,Como,0 - 3
317,33,19/04/2025 16:00,Brianteo,Monza,Napoli,0 - 1
319,33,19/04/2025 18:45,Olimpico,Roma,Hellas Verona,1 - 0
313,33,20/04/2025 13:00,Carlo Castellani,Empoli,Venezia,2 - 2
311,33,20/04/2025 16:00,Renato Dall'Ara,Bologna,Inter,1 - 0
316,33,20/04/2025 18:45,Giuseppe Meazza,Milan,Atalanta,0 - 1
312,33,23/04/2025 16:30,Unipol Domus,Cagliari,Fiorentina,1 - 2
314,33,23/04/2025 16:30,Luigi Ferraris,Genoa,Lazio,0 - 2
318,33,23/04/2025 16:30,Ennio Tardini,Parma,Juventus,1 - 0
320,33,23/04/2025 16:30,Olimpico Grande Torino,Torino,Udinese,2 - 0
322,34,27/04/2025 10:30,Giuseppe Sinigaglia,Como,Genoa,1 - 0
329,34,27/04/2025 10:30,Pier Luigi Penzo,Venezia,Milan,0 - 2
323,34,27/04/2025 13:00,Artemio Franchi,Fiorentina,Empoli,2 - 1
324,34,27/04/2025 13:00,Giuseppe Meazza,Inter,Roma,0 - 1
325,34,27/04/2025 16:00,Juventus Stadium,Juventus,Monza,2 - 0
321,34,27/04/2025 18:45,Atleti Azzurri d'Italia,Atalanta,Lecce,1 - 1
327,34,27/04/2025 18:45,Diego Armando Maradona,Napoli,Torino,2 - 0
328,34,28/04/2025 16:30,Friuli,Udinese,Bologna,0 - 0
326,34,28/04/2025 18:45,Olimpico,Lazio,Parma,2 - 2
330,34,28/04/2025 18:45,Marcantonio Bentegodi,Hellas Verona,Cagliari,0 - 2
340,35,02/05/2025 18:45,Olimpico Grande Torino,Torino,Venezia,1 - 1
332,35,03/05/2025 13:00,Unipol Domus,Cagliari,Udinese,1 - 2
338,35,03/05/2025 13:00,Ennio Tardini,Parma,Como,0 - 1
336,35,03/05/2025 16:00,Ettore Giardiniero - Via del mare,Lecce,Napoli,0 - 1
335,35,03/05/2025 18:45,Giuseppe Meazza,Inter,Hellas Verona,1 - 0
333,35,04/05/2025 10:30,Carlo Castellani,Empoli,Lazio,0 - 1
337,35,04/05/2025 13:00,Brianteo,Monza,Atalanta,0 - 4
339,35,04/05/2025 16:00,Olimpico,Roma,Fiorentina,1 - 0
331,35,04/05/2025 18:45,Renato Dall'Ara,Bologna,Juventus,1 - 1
334,35,05/05/2025 18:45,Luigi Ferraris,Genoa,Milan,1 - 2
349,36,09/05/2025 18:45,Giuseppe Meazza,Milan,Bologna,3 - 1
346,36,10/05/2025 13:00,Giuseppe Sinigaglia,Como,Cagliari,3 - 1
348,36,10/05/2025 16:00,Olimpico,Lazio,Juventus,1 - 1
347,36,10/05/2025 18:45,Carlo Castellani,Empoli,Parma,2 - 1
